*In this test lightncandy is configured as HANDLEBARS* (test @ 2016-01-13 03:42:47)

  * `YES` : Exact same behavior with handlebars.js run in nodejs
  * `NO` : Do not support, can not parse the template
  * `OUTPUT` : Do not output for array value, object or true
  * `CR/LF` : Output more or less CR/LF (minor issue)
  * `QUOTE` : Encode ' to &amp;#039;, not to &amp;#x27; (minor issue)
  * `SINGLEQUOTE` : Do not encode ' to &amp;#x27;


|	test case		| handlebars.php	|	lightncandy	|	mustache-php	|	mustache.php	|
|-------------------------------|-----------------------|-----------------------|-----------------------|-----------------------|
|          035-hb-eachelse-003	|	        CR/LF	|	           NO	|	           NO	|	           NO |
|          035-hb-eachelse-004	|	        CR/LF	|	           NO	|	           NO	|	           NO |
|          035-hb-eachelse-005	|	        CR/LF	|	           NO	|	           NO	|	           NO |
|       036-hb-sectionelse-001	|	       OUTPUT	|	           NO	|	           NO	|	           NO |
|       036-hb-sectionelse-002	|	       OUTPUT	|	           NO	|	           NO	|	           NO |
|       036-hb-sectionelse-003	|	       OUTPUT	|	           NO	|	           NO	|	           NO |
|       036-hb-sectionelse-004	|	       OUTPUT	|	           NO	|	           NO	|	           NO |
|       036-hb-sectionelse-005	|	       OUTPUT	|	           NO	|	           NO	|	           NO |
|       036-hb-sectionelse-006	|	       OUTPUT	|	           NO	|	           NO	|	           NO |
|    037-hb-each-firstlast-001	|	       OUTPUT	|	       OUTPUT	|	           NO	|	           NO |
|    037-hb-each-firstlast-002	|	       OUTPUT	|	       OUTPUT	|	           NO	|	           NO |
|    037-hb-each-firstlast-003	|	       OUTPUT	|	       OUTPUT	|	           NO	|	           NO |
|     038-hb-subexpression-001	|	          YES	|	       OUTPUT	|	       OUTPUT	|	       OUTPUT |
|        039-hb-parenteach-001	|	       OUTPUT	|	           NO	|	           NO	|	           NO |
|        039-hb-parenteach-002	|	       OUTPUT	|	           NO	|	           NO	|	           NO |
|          livetest-001-hb-001	|	          YES	|	       OUTPUT	|	           NO	|	           NO |
|          livetest-002-hb-001	|	       OUTPUT	|	       OUTPUT	|	           NO	|	           NO |
